1	4.00E+04	-1.63E+02	-1.06E+02
2	4.00E+04	2.99E+02	-5.54E+02
3	4.00E+04	-4.98E+02	-1.55E+02
4	4.00E+04	-1.50E+02	1.61E+02
5	4.00E+04	1.81E+02	-3.26E+02
6	4.00E+04	1.56E+02	3.07E+01
7	4.00E+04	1.32E+02	-1.60E+01
8	4.00E+04	-2.96E+01	-5.82E+01
9	4.00E+04	-1.97E+01	-1.96E+02
10	4.00E+04	-1.63E+02	-2.27E+02
11	4.00E+04	-4.40E+01	1.69E+01
12	4.00E+04	-8.86E+01	3.26E+01
13	4.00E+04	2.78E+01	-7.43E+01
14	4.00E+04	-2.16E+02	-5.09E+01
15	4.00E+04	-2.92E+02	4.20E+01
16	4.00E+04	-6.01E+01	-1.76E+02
17	4.00E+04	-2.91E+02	1.80E+02
18	4.00E+04	-2.85E+02	-1.43E+02
19	4.00E+04	-5.62E+01	-1.20E+02
20	4.00E+04	2.88E+02	2.81E+02
21	4.00E+04	8.40E+02	-2.19E+02
22	4.00E+04	-2.65E+02	-3.43E+02
23	4.00E+04	2.94E+00	-5.69E+01
24	4.00E+04	-3.20E+02	-1.34E+02
25	4.00E+04	1.79E+02	4.15E+02
26	4.00E+04	3.84E+02	2.72E+02
27	4.00E+04	-3.73E+02	-4.80E+02
28	4.00E+04	-2.82E+01	-9.62E+00
29	4.00E+04	1.76E+02	1.23E+01
30	4.00E+04	1.81E+02	1.92E+02
31	4.00E+04	1.45E+02	3.66E+01
32	4.00E+04	1.84E+02	3.87E+02
33	4.00E+04	7.84E+01	-8.01E+01
34	4.00E+04	-2.75E+02	4.50E+02
35	4.00E+04	1.02E+01	-9.64E+01
36	4.00E+04	9.72E+01	-1.45E+02
37	4.00E+04	-1.77E+02	-2.17E+02
38	4.00E+04	1.99E+01	2.49E+01
39	4.00E+04	-3.36E+01	4.78E+01
40	4.00E+04	-7.79E+02	9.77E+01
41	4.00E+04	-4.14E+02	2.04E+02
42	4.00E+04	1.69E+02	1.80E+02
43	4.00E+04	-3.82E+01	1.50E+01
44	4.00E+04	8.26E+02	2.63E+01
45	4.00E+04	6.88E+01	5.53E+01
46	4.00E+04	2.22E+02	-1.81E+02
47	4.00E+04	1.32E+02	-1.92E+02
48	4.00E+04	7.74E+01	-3.84E+01
49	4.00E+04	2.79E+03	-1.33E+03
50	4.00E+04	1.60E+02	-5.60E+01
51	4.00E+04	-1.08E+02	1.29E+01
52	4.00E+04	-8.50E+01	-2.03E+02
53	4.00E+04	6.03E+02	9.17E+01
54	4.00E+04	-9.33E+01	8.20E+00
55	4.00E+04	-3.65E+02	3.72E+01
56	4.00E+04	-1.98E+01	-1.13E+02
57	4.00E+04	1.17E+02	1.90E+02
58	4.00E+04	3.20E+02	7.16E+01
59	4.00E+04	-3.01E+02	-3.64E+02
60	4.00E+04	-1.83E+02	-5.02E+02
61	4.00E+04	1.74E+02	-2.40E+02
62	4.00E+04	-1.98E+02	3.56E+01
63	4.00E+04	-1.01E+00	5.14E+01
64	4.00E+04	5.93E+01	2.12E+01
65	4.00E+04	-2.73E+02	1.40E+02
66	4.00E+04	5.36E+01	4.68E+02
67	4.00E+04	-7.44E+00	-6.13E+01
68	4.00E+04	-4.72E+01	2.06E+02
69	4.00E+04	5.45E+01	-9.02E+01
70	4.00E+04	2.01E+02	-1.42E+02
71	4.00E+04	5.09E+01	1.18E+02
72	4.00E+04	4.26E+01	8.02E+01
73	4.00E+04	2.34E+02	1.39E+02
74	4.00E+04	-3.07E+02	1.46E+02
75	4.00E+04	-8.18E+01	-1.01E+02
76	4.00E+04	-7.62E+01	1.64E+02
77	4.00E+04	2.10E+01	4.36E+01
78	4.00E+04	3.69E+00	-2.97E+02
79	4.00E+04	6.20E+01	3.67E+01
80	4.00E+04	1.71E+02	-1.40E+02
81	4.00E+04	2.31E+02	-2.64E+02
82	4.00E+04	-1.89E+02	-2.96E+02
83	4.00E+04	1.28E+02	6.61E+01
84	4.00E+04	-1.73E+02	-1.22E+02
85	4.00E+04	1.56E+02	-1.39E+02
