118	8.00E+08	1.41E+05	-5.69E+03
119	8.00E+08	-1.13E+06	1.09E+05
120	8.00E+08	1.22E+05	-1.69E+05
121	8.00E+08	8.52E+05	7.42E+05
122	8.00E+08	-3.41E+03	-2.44E+05
123	8.00E+08	2.68E+05	2.82E+05
124	8.00E+08	2.97E+04	1.08E+06
125	8.00E+08	3.59E+05	9.54E+05
126	8.00E+08	-5.90E+04	-1.46E+05
127	8.00E+08	-8.98E+05	-4.55E+05
128	8.00E+08	4.35E+05	-3.35E+05
129	8.00E+08	3.37E+05	-2.85E+05
130	8.00E+08	6.90E+05	3.55E+05
131	8.00E+08	3.07E+05	6.45E+05
132	8.00E+08	-4.52E+05	-1.81E+05
133	8.00E+08	-8.14E+05	-9.39E+04
134	8.00E+08	1.24E+05	5.50E+03
135	8.00E+08	1.02E+05	3.35E+05
136	8.00E+08	3.00E+04	3.51E+05
137	8.00E+08	5.18E+05	-6.45E+05
138	8.00E+08	4.76E+05	1.87E+05
139	8.00E+08	2.51E+05	3.63E+05
140	8.00E+08	1.88E+05	2.22E+06
141	8.00E+08	4.50E+05	-1.18E+05
142	8.00E+08	3.46E+05	1.27E+05
143	8.00E+08	-4.45E+05	-9.22E+04
144	8.00E+08	1.23E+05	1.75E+05
145	8.00E+08	-1.78E+05	2.08E+05
146	8.00E+08	-2.71E+05	2.26E+05
147	8.00E+08	4.26E+05	2.42E+05
148	8.00E+08	3.28E+05	-6.05E+05
149	8.00E+08	-7.01E+05	-7.03E+05
150	8.00E+08	-7.22E+05	1.48E+05
151	8.00E+08	1.10E+06	1.79E+06
152	8.00E+08	-2.57E+05	-7.09E+05
153	8.00E+08	-5.62E+05	7.93E+05
154	8.00E+08	-9.08E+04	9.54E+04
155	8.00E+08	9.29E+05	4.11E+05
156	8.00E+08	6.95E+04	-3.79E+04
157	8.00E+08	-4.76E+05	-9.58E+04
158	8.00E+08	-9.85E+04	-1.59E+05
159	8.00E+08	-1.31E+06	6.23E+05
160	8.00E+08	-1.88E+05	4.46E+04
161	8.00E+08	-1.05E+06	2.98E+05
162	8.00E+08	3.05E+05	-5.17E+05
163	8.00E+08	9.81E+04	-1.43E+05
164	8.00E+08	2.17E+05	-5.63E+04
165	8.00E+08	1.19E+06	4.81E+06
166	8.00E+08	3.86E+04	5.11E+03
167	8.00E+08	-2.23E+05	-5.79E+05
168	8.00E+08	1.83E+05	3.77E+05
169	8.00E+08	-3.76E+05	-4.67E+05
170	8.00E+08	-3.40E+05	1.09E+05
171	8.00E+08	-1.37E+05	1.33E+05
172	8.00E+08	7.21E+05	2.75E+05
173	8.00E+08	-1.33E+06	8.32E+05
174	8.00E+08	-3.72E+05	-4.91E+03
175	8.00E+08	2.96E+04	2.02E+05
176	8.00E+08	-2.11E+04	1.15E+05
177	8.00E+08	7.49E+03	-2.70E+05
178	8.00E+08	9.48E+05	-5.77E+05
179	8.00E+08	-7.62E+05	-1.18E+06
180	8.00E+08	-6.60E+05	-3.39E+05
181	8.00E+08	-5.59E+05	3.64E+05
182	8.00E+08	-1.29E+05	1.06E+05
183	8.00E+08	3.47E+04	-2.17E+04
184	8.00E+08	3.42E+03	-8.49E+05
185	8.00E+08	-6.41E+05	-1.15E+05
186	8.00E+08	6.28E+04	-1.04E+06
187	8.00E+08	-3.68E+05	-4.56E+05
188	8.00E+08	1.37E+05	-2.25E+05
189	8.00E+08	7.98E+05	3.12E+05
190	8.00E+08	7.47E+04	-4.92E+05
191	8.00E+08	-3.62E+05	-9.47E+04
192	8.00E+08	2.89E+05	-1.02E+06
193	8.00E+08	-3.12E+06	1.48E+06
194	8.00E+08	-6.87E+05	1.20E+05
195	8.00E+08	-1.40E+05	5.99E+05
196	8.00E+08	-5.94E+05	1.82E+05
197	8.00E+08	7.74E+05	-6.63E+05
198	8.00E+08	9.00E+05	-3.74E+05
199	8.00E+08	-4.36E+05	1.43E+05
200	8.00E+08	-4.13E+05	-2.18E+05
201	8.00E+08	-2.21E+06	-8.28E+05
202	8.00E+08	1.56E+05	-9.38E+05
203	8.00E+08	-2.91E+05	1.69E+05
204	8.00E+08	1.79E+05	5.17E+05
205	8.00E+08	1.07E+05	-5.55E+05
206	8.00E+08	2.31E+05	-3.13E+05
207	8.00E+08	-1.33E+06	-5.63E+04
208	8.00E+08	-2.87E+04	8.75E+04
209	8.00E+08	-3.37E+05	2.00E+05
